Month,ANZSCO_TITLE,GCCSA,Adzuna_count,ANZSCO_CODE,IVI_count
2015-03-01,Technicians and Trades Workers,Rest of NT,23,3,62.333
2015-03-01,Technicians and Trades Workers,Rest of Qld,1007,3,1977.333
2015-03-01,Technicians and Trades Workers,Rest of SA,63,3,116.667
2015-03-01,Technicians and Trades Workers,Rest of Tas.,59,3,90.333
2015-03-01,Technicians and Trades Workers,Rest of Vic.,378,3,649.333
2015-03-01,Technicians and Trades Workers,Rest of WA,239,3,698
2015-03-01,Community and Personal Service Workers,Australian Capital Territory,198,4,282.333
2015-03-01,Community and Personal Service Workers,Greater Adelaide,373,4,612
2015-03-01,Community and Personal Service Workers,Greater Brisbane,654,4,1433.333
2015-03-01,Community and Personal Service Workers,Greater Darwin,127,4,146
2015-03-01,Community and Personal Service Workers,Greater Hobart,51,4,134.333
2015-03-01,Community and Personal Service Workers,Greater Melbourne,2769,4,2756.333
2015-03-01,Community and Personal Service Workers,Greater Perth,1395,4,1000.333
2015-03-01,Community and Personal Service Workers,Greater Sydney,3755,4,2747.333
2015-03-01,Community and Personal Service Workers,Rest of NSW,930,4,1092.334
2015-03-01,Community and Personal Service Workers,Rest of NT,29,4,60.667
2015-03-01,Community and Personal Service Workers,Rest of Qld,814,4,1236.333
2015-03-01,Community and Personal Service Workers,Rest of SA,46,4,67
2015-03-01,Community and Personal Service Workers,Rest of Tas.,49,4,46.666
2015-03-01,Community and Personal Service Workers,Rest of Vic.,313,4,515.6659999999999
2015-03-01,Community and Personal Service Workers,Rest of WA,200,4,192.999
2015-03-01,Clerical and Administrative Workers,Australian Capital Territory,273,5,674.667
2015-03-01,Clerical and Administrative Workers,Greater Adelaide,313,5,1047.667
2015-03-01,Clerical and Administrative Workers,Greater Brisbane,253,5,3280.667
2015-03-01,Clerical and Administrative Workers,Greater Darwin,122,5,282
2015-03-01,Clerical and Administrative Workers,Greater Hobart,54,5,143.667
2015-03-01,Clerical and Administrative Workers,Greater Melbourne,2353,5,6602
2015-03-01,Clerical and Administrative Workers,Greater Perth,873,5,2494
2015-03-01,Clerical and Administrative Workers,Greater Sydney,3876,5,9628
2015-03-01,Clerical and Administrative Workers,Rest of NSW,457,5,1317.999
2015-03-01,Clerical and Administrative Workers,Rest of NT,9,5,68
2015-03-01,Clerical and Administrative Workers,Rest of Qld,432,5,1746.334
2015-03-01,Clerical and Administrative Workers,Rest of SA,17,5,93
2015-03-01,Clerical and Administrative Workers,Rest of Tas.,37,5,72
2015-03-01,Clerical and Administrative Workers,Rest of Vic.,177,5,547.6659999999999
2015-03-01,Clerical and Administrative Workers,Rest of WA,68,5,257.33299999999997
2015-03-01,Sales Workers,Australian Capital Territory,125,6,223.333
2015-03-01,Sales Workers,Greater Adelaide,382,6,674
2015-03-01,Sales Workers,Greater Brisbane,373,6,1825.333
2015-03-01,Sales Workers,Greater Darwin,69,6,141.333
2015-03-01,Sales Workers,Greater Hobart,53,6,110.333
2015-03-01,Sales Workers,Greater Melbourne,1961,6,3712.667
2015-03-01,Sales Workers,Greater Perth,886,6,1539
2015-03-01,Sales Workers,Greater Sydney,3190,6,4698
2015-03-01,Sales Workers,Rest of NSW,535,6,1079.333
2015-03-01,Sales Workers,Rest of NT,22,6,27
2015-03-01,Sales Workers,Rest of Qld,629,6,1186.334
2015-03-01,Sales Workers,Rest of SA,76,6,105
2015-03-01,Sales Workers,Rest of Tas.,34,6,73.333
2015-03-01,Sales Workers,Rest of Vic.,275,6,465.33299999999997
2015-03-01,Sales Workers,Rest of WA,113,6,172.667
2015-03-01,Machinery Operators and Drivers,Australian Capital Territory,64,7,59
2015-03-01,Machinery Operators and Drivers,Greater Adelaide,349,7,385.667
2015-03-01,Machinery Operators and Drivers,Greater Brisbane,325,7,758
2015-03-01,Machinery Operators and Drivers,Greater Darwin,87,7,89
2015-03-01,Machinery Operators and Drivers,Greater Hobart,33,7,53.667
2015-03-01,Machinery Operators and Drivers,Greater Melbourne,1592,7,1545.333
2015-03-01,Machinery Operators and Drivers,Greater Perth,932,7,796.333
2015-03-01,Machinery Operators and Drivers,Greater Sydney,2276,7,1697
2015-03-01,Machinery Operators and Drivers,Rest of NSW,394,7,563.333
2015-03-01,Machinery Operators and Drivers,Rest of NT,5,7,19
2015-03-01,Machinery Operators and Drivers,Rest of Qld,366,7,610.667
2015-03-01,Machinery Operators and Drivers,Rest of SA,44,7,69
2015-03-01,Machinery Operators and Drivers,Rest of Tas.,41,7,52
2015-03-01,Machinery Operators and Drivers,Rest of Vic.,218,7,253.333
2015-03-01,Machinery Operators and Drivers,Rest of WA,156,7,298.66700000000003
2015-03-01,Labourers,Australian Capital Territory,122,8,151.667
2015-03-01,Labourers,Greater Adelaide,348,8,664.667
2015-03-01,Labourers,Greater Brisbane,557,8,1144.333
2015-03-01,Labourers,Greater Darwin,83,8,117.667
2015-03-01,Labourers,Greater Hobart,45,8,103.333
2015-03-01,Labourers,Greater Melbourne,1663,8,2246.667
2015-03-01,Labourers,Greater Perth,1176,8,962.333
2015-03-01,Labourers,Greater Sydney,2882,8,2150.667
2015-03-01,Labourers,Rest of NSW,739,8,1590.334
2015-03-01,Labourers,Rest of NT,23,8,38.667
2015-03-01,Labourers,Rest of Qld,781,8,1423.333
2015-03-01,Labourers,Rest of SA,89,8,198
2015-03-01,Labourers,Rest of Tas.,70,8,113.666
2015-03-01,Labourers,Rest of Vic.,361,8,769.333
2015-03-01,Labourers,Rest of WA,264,8,324.33299999999997
2015-04-01,Managers,Australian Capital Territory,401,1,592
2015-04-01,Managers,Greater Adelaide,273,1,683.667
2015-04-01,Managers,Greater Brisbane,163,1,2214.333
2015-04-01,Managers,Greater Darwin,102,1,211
2015-04-01,Managers,Greater Hobart,40,1,97
2015-04-01,Managers,Greater Melbourne,2568,1,4863.333
2015-04-01,Managers,Greater Perth,843,1,1689.667
2015-04-01,Managers,Greater Sydney,4346,1,7888.667
2015-04-01,Managers,Rest of NSW,402,1,828.3340000000001
2015-04-01,Managers,Rest of NT,17,1,45
2015-04-01,Managers,Rest of Qld,402,1,956.3320000000001
2015-04-01,Managers,Rest of SA,21,1,58
2015-04-01,Managers,Rest of Tas.,37,1,51
2015-04-01,Managers,Rest of Vic.,234,1,356.001
2015-04-01,Managers,Rest of WA,90,1,185
2015-04-01,Professionals,Australian Capital Territory,829,2,1729.667
2015-04-01,Professionals,Greater Adelaide,732,2,1337
2015-04-01,Professionals,Greater Brisbane,410,2,4854
2015-04-01,Professionals,Greater Darwin,169,2,380
2015-04-01,Professionals,Greater Hobart,122,2,151.667
2015-04-01,Professionals,Greater Melbourne,5292,2,9256.667
2015-04-01,Professionals,Greater Perth,1604,2,3025.667
2015-04-01,Professionals,Greater Sydney,9539,2,14894.667
2015-04-01,Professionals,Rest of NSW,1336,2,1805
2015-04-01,Professionals,Rest of NT,22,2,111.333
2015-04-01,Professionals,Rest of Qld,980,2,2218.333
2015-04-01,Professionals,Rest of SA,62,2,92
2015-04-01,Professionals,Rest of Tas.,144,2,115
2015-04-01,Professionals,Rest of Vic.,474,2,813.999
2015-04-01,Professionals,Rest of WA,180,2,455.66700000000003
2015-04-01,Technicians and Trades Workers,Australian Capital Territory,208,3,356
2015-04-01,Technicians and Trades Workers,Greater Adelaide,441,3,816.333
2015-04-01,Technicians and Trades Workers,Greater Brisbane,683,3,2356.333
2015-04-01,Technicians and Trades Workers,Greater Darwin,164,3,287
2015-04-01,Technicians and Trades Workers,Greater Hobart,62,3,141.667
2015-04-01,Technicians and Trades Workers,Greater Melbourne,3147,3,4049
2015-04-01,Technicians and Trades Workers,Greater Perth,1942,3,1941.667
2015-04-01,Technicians and Trades Workers,Greater Sydney,4339,3,4754.333
2015-04-01,Technicians and Trades Workers,Rest of NSW,707,3,1359.335
2015-04-01,Technicians and Trades Workers,Rest of NT,21,3,66.667
2015-04-01,Technicians and Trades Workers,Rest of Qld,875,3,1907.667
2015-04-01,Technicians and Trades Workers,Rest of SA,54,3,110.334
2015-04-01,Technicians and Trades Workers,Rest of Tas.,60,3,86.334
2015-04-01,Technicians and Trades Workers,Rest of Vic.,321,3,641.001
2015-04-01,Technicians and Trades Workers,Rest of WA,212,3,609.3330000000001
2015-04-01,Community and Personal Service Workers,Australian Capital Territory,190,4,289.333
2015-04-01,Community and Personal Service Workers,Greater Adelaide,350,4,592.333
2015-04-01,Community and Personal Service Workers,Greater Brisbane,547,4,1435.333
2015-04-01,Community and Personal Service Workers,Greater Darwin,142,4,149.333
2015-04-01,Community and Personal Service Workers,Greater Hobart,69,4,134.333
2015-04-01,Community and Personal Service Workers,Greater Melbourne,2444,4,2754.667
2015-04-01,Community and Personal Service Workers,Greater Perth,1128,4,947.667
2015-04-01,Community and Personal Service Workers,Greater Sydney,3186,4,2775.333
2015-04-01,Community and Personal Service Workers,Rest of NSW,711,4,1151.333
2015-04-01,Community and Personal Service Workers,Rest of NT,22,4,50.667
2015-04-01,Community and Personal Service Workers,Rest of Qld,658,4,1205.666
2015-04-01,Community and Personal Service Workers,Rest of SA,32,4,67
2015-04-01,Community and Personal Service Workers,Rest of Tas.,51,4,47.667
2015-04-01,Community and Personal Service Workers,Rest of Vic.,251,4,491.999
2015-04-01,Community and Personal Service Workers,Rest of WA,161,4,178
2015-04-01,Clerical and Administrative Workers,Australian Capital Territory,328,5,744.667
2015-04-01,Clerical and Administrative Workers,Greater Adelaide,251,5,1013.667
2015-04-01,Clerical and Administrative Workers,Greater Brisbane,215,5,3128.333
2015-04-01,Clerical and Administrative Workers,Greater Darwin,99,5,268
2015-04-01,Clerical and Administrative Workers,Greater Hobart,48,5,129.667
2015-04-01,Clerical and Administrative Workers,Greater Melbourne,2269,5,6614.667
2015-04-01,Clerical and Administrative Workers,Greater Perth,781,5,2334
2015-04-01,Clerical and Administrative Workers,Greater Sydney,3533,5,9687
2015-04-01,Clerical and Administrative Workers,Rest of NSW,359,5,1260.666
2015-04-01,Clerical and Administrative Workers,Rest of NT,6,5,62.333
2015-04-01,Clerical and Administrative Workers,Rest of Qld,356,5,1662.666
2015-04-01,Clerical and Administrative Workers,Rest of SA,22,5,86.333
2015-04-01,Clerical and Administrative Workers,Rest of Tas.,35,5,72
2015-04-01,Clerical and Administrative Workers,Rest of Vic.,153,5,526.668
2015-04-01,Clerical and Administrative Workers,Rest of WA,62,5,236.333
2015-04-01,Sales Workers,Australian Capital Territory,140,6,237.667
2015-04-01,Sales Workers,Greater Adelaide,351,6,674.667
2015-04-01,Sales Workers,Greater Brisbane,292,6,1786
2015-04-01,Sales Workers,Greater Darwin,75,6,144.667
2015-04-01,Sales Workers,Greater Hobart,40,6,103.333
2015-04-01,Sales Workers,Greater Melbourne,1844,6,3694
2015-04-01,Sales Workers,Greater Perth,851,6,1466
2015-04-01,Sales Workers,Greater Sydney,3042,6,4658
2015-04-01,Sales Workers,Rest of NSW,408,6,1019.335
2015-04-01,Sales Workers,Rest of NT,12,6,28.333
2015-04-01,Sales Workers,Rest of Qld,551,6,1162.666
2015-04-01,Sales Workers,Rest of SA,47,6,93.333
2015-04-01,Sales Workers,Rest of Tas.,50,6,66.666
2015-04-01,Sales Workers,Rest of Vic.,241,6,450
2015-04-01,Sales Workers,Rest of WA,92,6,171.334
2015-04-01,Machinery Operators and Drivers,Australian Capital Territory,60,7,64.333
2015-04-01,Machinery Operators and Drivers,Greater Adelaide,270,7,374.333
2015-04-01,Machinery Operators and Drivers,Greater Brisbane,265,7,725
2015-04-01,Machinery Operators and Drivers,Greater Darwin,79,7,92
2015-04-01,Machinery Operators and Drivers,Greater Hobart,34,7,42.333
2015-04-01,Machinery Operators and Drivers,Greater Melbourne,1542,7,1570.333
2015-04-01,Machinery Operators and Drivers,Greater Perth,781,7,709
2015-04-01,Machinery Operators and Drivers,Greater Sydney,2056,7,1658.667
2015-04-01,Machinery Operators and Drivers,Rest of NSW,367,7,568.666
2015-04-01,Machinery Operators and Drivers,Rest of NT,6,7,16.333
2015-04-01,Machinery Operators and Drivers,Rest of Qld,355,7,622.6659999999999
2015-04-01,Machinery Operators and Drivers,Rest of SA,34,7,57.333
2015-04-01,Machinery Operators and Drivers,Rest of Tas.,39,7,46.333
2015-04-01,Machinery Operators and Drivers,Rest of Vic.,190,7,241.001
2015-04-01,Machinery Operators and Drivers,Rest of WA,114,7,265
2015-04-01,Labourers,Australian Capital Territory,103,8,154.333
2015-04-01,Labourers,Greater Adelaide,261,8,607.667
2015-04-01,Labourers,Greater Brisbane,484,8,1076.667
2015-04-01,Labourers,Greater Darwin,99,8,117
2015-04-01,Labourers,Greater Hobart,45,8,91
2015-04-01,Labourers,Greater Melbourne,1397,8,2235
2015-04-01,Labourers,Greater Perth,900,8,868.333
2015-04-01,Labourers,Greater Sydney,2275,8,2092.333
2015-04-01,Labourers,Rest of NSW,531,8,1532.333
2015-04-01,Labourers,Rest of NT,9,8,36.333
2015-04-01,Labourers,Rest of Qld,620,8,1371.334
2015-04-01,Labourers,Rest of SA,80,8,190.667
2015-04-01,Labourers,Rest of Tas.,47,8,113
2015-04-01,Labourers,Rest of Vic.,240,8,733.333
2015-04-01,Labourers,Rest of WA,203,8,317.666
2015-05-01,Managers,Australian Capital Territory,419,1,632.667
2015-05-01,Managers,Greater Adelaide,330,1,682.667
2015-05-01,Managers,Greater Brisbane,223,1,2229
2015-05-01,Managers,Greater Darwin,117,1,209.333
2015-05-01,Managers,Greater Hobart,44,1,94.333
2015-05-01,Managers,Greater Melbourne,2700,1,4986
2015-05-01,Managers,Greater Perth,845,1,1661.667
2015-05-01,Managers,Greater Sydney,4627,1,7969
2015-05-01,Managers,Rest of NSW,533,1,832.6659999999999
2015-05-01,Managers,Rest of NT,27,1,42
2015-05-01,Managers,Rest of Qld,441,1,941.334
2015-05-01,Managers,Rest of SA,41,1,62.334
2015-05-01,Managers,Rest of Tas.,44,1,49.333
2015-05-01,Managers,Rest of Vic.,270,1,358
2015-05-01,Managers,Rest of WA,124,1,172.667
2015-05-01,Professionals,Australian Capital Territory,1038,2,1840.333
2015-05-01,Professionals,Greater Adelaide,703,2,1320.667
2015-05-01,Professionals,Greater Brisbane,691,2,4941.667
2015-05-01,Professionals,Greater Darwin,244,2,375.333
2015-05-01,Professionals,Greater Hobart,157,2,145
2015-05-01,Professionals,Greater Melbourne,6056,2,9701.333
2015-05-01,Professionals,Greater Perth,1784,2,3082.667
2015-05-01,Professionals,Greater Sydney,11164,2,15270
2015-05-01,Professionals,Rest of NSW,2025,2,1883.6680000000001
2015-05-01,Professionals,Rest of NT,67,2,105
2015-05-01,Professionals,Rest of Qld,1214,2,2190.666
2015-05-01,Professionals,Rest of SA,54,2,107.667
2015-05-01,Professionals,Rest of Tas.,157,2,124.333
2015-05-01,Professionals,Rest of Vic.,730,2,860
2015-05-01,Professionals,Rest of WA,323,2,442
2015-05-01,Technicians and Trades Workers,Australian Capital Territory,366,3,367
2015-05-01,Technicians and Trades Workers,Greater Adelaide,477,3,784.333
2015-05-01,Technicians and Trades Workers,Greater Brisbane,727,3,2377
2015-05-01,Technicians and Trades Workers,Greater Darwin,167,3,279.333
2015-05-01,Technicians and Trades Workers,Greater Hobart,67,3,111
2015-05-01,Technicians and Trades Workers,Greater Melbourne,2759,3,4022.667
2015-05-01,Technicians and Trades Workers,Greater Perth,1472,3,1899.667
2015-05-01,Technicians and Trades Workers,Greater Sydney,5328,3,4938.333
2015-05-01,Technicians and Trades Workers,Rest of NSW,1473,3,1350.333
2015-05-01,Technicians and Trades Workers,Rest of NT,71,3,57.667
2015-05-01,Technicians and Trades Workers,Rest of Qld,889,3,1951.667
2015-05-01,Technicians and Trades Workers,Rest of SA,53,3,110.333
2015-05-01,Technicians and Trades Workers,Rest of Tas.,53,3,92.666
2015-05-01,Technicians and Trades Workers,Rest of Vic.,611,3,604.6659999999999
2015-05-01,Technicians and Trades Workers,Rest of WA,405,3,559
2015-05-01,Community and Personal Service Workers,Australian Capital Territory,241,4,307
2015-05-01,Community and Personal Service Workers,Greater Adelaide,350,4,570
2015-05-01,Community and Personal Service Workers,Greater Brisbane,629,4,1469.667
2015-05-01,Community and Personal Service Workers,Greater Darwin,118,4,159
2015-05-01,Community and Personal Service Workers,Greater Hobart,57,4,143
2015-05-01,Community and Personal Service Workers,Greater Melbourne,2386,4,2762.667
2015-05-01,Community and Personal Service Workers,Greater Perth,1232,4,960
2015-05-01,Community and Personal Service Workers,Greater Sydney,3604,4,3011.667
2015-05-01,Community and Personal Service Workers,Rest of NSW,930,4,1130.666
2015-05-01,Community and Personal Service Workers,Rest of NT,38,4,45.667
2015-05-01,Community and Personal Service Workers,Rest of Qld,688,4,1213
2015-05-01,Community and Personal Service Workers,Rest of SA,45,4,69.333
2015-05-01,Community and Personal Service Workers,Rest of Tas.,60,4,58
2015-05-01,Community and Personal Service Workers,Rest of Vic.,417,4,459
2015-05-01,Community and Personal Service Workers,Rest of WA,230,4,188.333
2015-05-01,Clerical and Administrative Workers,Australian Capital Territory,255,5,802
2015-05-01,Clerical and Administrative Workers,Greater Adelaide,234,5,979.667
2015-05-01,Clerical and Administrative Workers,Greater Brisbane,237,5,3130.667
2015-05-01,Clerical and Administrative Workers,Greater Darwin,77,5,259
2015-05-01,Clerical and Administrative Workers,Greater Hobart,29,5,116.333
2015-05-01,Clerical and Administrative Workers,Greater Melbourne,2350,5,6642.333
2015-05-01,Clerical and Administrative Workers,Greater Perth,744,5,2230.667
2015-05-01,Clerical and Administrative Workers,Greater Sydney,3640,5,9894
2015-05-01,Clerical and Administrative Workers,Rest of NSW,482,5,1256
2015-05-01,Clerical and Administrative Workers,Rest of NT,9,5,50.333
2015-05-01,Clerical and Administrative Workers,Rest of Qld,379,5,1645.001
2015-05-01,Clerical and Administrative Workers,Rest of SA,16,5,79
2015-05-01,Clerical and Administrative Workers,Rest of Tas.,30,5,75.334
2015-05-01,Clerical and Administrative Workers,Rest of Vic.,193,5,547
2015-05-01,Clerical and Administrative Workers,Rest of WA,64,5,236.001
2015-05-01,Sales Workers,Australian Capital Territory,141,6,262.333
2015-05-01,Sales Workers,Greater Adelaide,407,6,691
2015-05-01,Sales Workers,Greater Brisbane,264,6,1755.333
2015-05-01,Sales Workers,Greater Darwin,75,6,155.333
2015-05-01,Sales Workers,Greater Hobart,23,6,102
2015-05-01,Sales Workers,Greater Melbourne,1879,6,3693
2015-05-01,Sales Workers,Greater Perth,822,6,1398.333
2015-05-01,Sales Workers,Greater Sydney,2872,6,4692.333
2015-05-01,Sales Workers,Rest of NSW,427,6,1022.333
2015-05-01,Sales Workers,Rest of NT,11,6,27.667
2015-05-01,Sales Workers,Rest of Qld,460,6,1165.667
2015-05-01,Sales Workers,Rest of SA,42,6,80.334
2015-05-01,Sales Workers,Rest of Tas.,21,6,64.667
2015-05-01,Sales Workers,Rest of Vic.,208,6,421.33299999999997
2015-05-01,Sales Workers,Rest of WA,86,6,165.667
2015-05-01,Machinery Operators and Drivers,Australian Capital Territory,72,7,64
2015-05-01,Machinery Operators and Drivers,Greater Adelaide,233,7,356
2015-05-01,Machinery Operators and Drivers,Greater Brisbane,355,7,750.333
2015-05-01,Machinery Operators and Drivers,Greater Darwin,99,7,99.333
2015-05-01,Machinery Operators and Drivers,Greater Hobart,27,7,38
2015-05-01,Machinery Operators and Drivers,Greater Melbourne,1459,7,1535.333
2015-05-01,Machinery Operators and Drivers,Greater Perth,698,7,656.333
2015-05-01,Machinery Operators and Drivers,Greater Sydney,2322,7,1589.667
2015-05-01,Machinery Operators and Drivers,Rest of NSW,461,7,558.999
2015-05-01,Machinery Operators and Drivers,Rest of NT,16,7,15.333
2015-05-01,Machinery Operators and Drivers,Rest of Qld,368,7,648.001
2015-05-01,Machinery Operators and Drivers,Rest of SA,37,7,52.333
2015-05-01,Machinery Operators and Drivers,Rest of Tas.,33,7,41.666
2015-05-01,Machinery Operators and Drivers,Rest of Vic.,203,7,209.666
2015-05-01,Machinery Operators and Drivers,Rest of WA,155,7,234.333
2015-05-01,Labourers,Australian Capital Territory,94,8,163
2015-05-01,Labourers,Greater Adelaide,280,8,573.667
2015-05-01,Labourers,Greater Brisbane,340,8,1072.667
2015-05-01,Labourers,Greater Darwin,79,8,117.333
2015-05-01,Labourers,Greater Hobart,43,8,72.667
2015-05-01,Labourers,Greater Melbourne,1199,8,2154.667
2015-05-01,Labourers,Greater Perth,723,8,777.667
2015-05-01,Labourers,Greater Sydney,2288,8,2003.333
2015-05-01,Labourers,Rest of NSW,588,8,1438.001
2015-05-01,Labourers,Rest of NT,11,8,25.667
2015-05-01,Labourers,Rest of Qld,476,8,1325.667
2015-05-01,Labourers,Rest of SA,82,8,183.666
2015-05-01,Labourers,Rest of Tas.,45,8,109
2015-05-01,Labourers,Rest of Vic.,248,8,633.667
2015-05-01,Labourers,Rest of WA,176,8,284.001
2015-06-01,Managers,Australian Capital Territory,340,1,604
2015-06-01,Managers,Greater Adelaide,373,1,675.667
2015-06-01,Managers,Greater Brisbane,221,1,2211
2015-06-01,Managers,Greater Darwin,99,1,194.667
2015-06-01,Managers,Greater Hobart,46,1,94.667
2015-06-01,Managers,Greater Melbourne,2555,1,5024
2015-06-01,Managers,Greater Perth,889,1,1644
2015-06-01,Managers,Greater Sydney,4707,1,8003.333
2015-06-01,Managers,Rest of NSW,525,1,798.3340000000001
2015-06-01,Managers,Rest of NT,17,1,43.333
2015-06-01,Managers,Rest of Qld,391,1,924.6669999999999
2015-06-01,Managers,Rest of SA,47,1,59
2015-06-01,Managers,Rest of Tas.,48,1,47
2015-06-01,Managers,Rest of Vic.,223,1,357
2015-06-01,Managers,Rest of WA,108,1,182.667
2015-06-01,Professionals,Australian Capital Territory,768,2,1829.333
2015-06-01,Professionals,Greater Adelaide,716,2,1306.333
2015-06-01,Professionals,Greater Brisbane,482,2,4887.333
2015-06-01,Professionals,Greater Darwin,184,2,357
2015-06-01,Professionals,Greater Hobart,138,2,148.333
2015-06-01,Professionals,Greater Melbourne,5576,2,9933.333
2015-06-01,Professionals,Greater Perth,1565,2,3006.333
2015-06-01,Professionals,Greater Sydney,9073,2,15248
2015-06-01,Professionals,Rest of NSW,1536,2,1884.333
2015-06-01,Professionals,Rest of NT,39,2,108.333
2015-06-01,Professionals,Rest of Qld,1160,2,2190.666
2015-06-01,Professionals,Rest of SA,54,2,109.667
2015-06-01,Professionals,Rest of Tas.,139,2,124.667
2015-06-01,Professionals,Rest of Vic.,508,2,899.666
2015-06-01,Professionals,Rest of WA,162,2,451
2015-06-01,Technicians and Trades Workers,Australian Capital Territory,193,3,356
2015-06-01,Technicians and Trades Workers,Greater Adelaide,377,3,755.667
2015-06-01,Technicians and Trades Workers,Greater Brisbane,438,3,2260.333
2015-06-01,Technicians and Trades Workers,Greater Darwin,122,3,291
2015-06-01,Technicians and Trades Workers,Greater Hobart,35,3,97.667
2015-06-01,Technicians and Trades Workers,Greater Melbourne,2055,3,3863.667
2015-06-01,Technicians and Trades Workers,Greater Perth,1435,3,1868.667
2015-06-01,Technicians and Trades Workers,Greater Sydney,3117,3,4989
2015-06-01,Technicians and Trades Workers,Rest of NSW,953,3,1253.333
2015-06-01,Technicians and Trades Workers,Rest of NT,10,3,58.667
2015-06-01,Technicians and Trades Workers,Rest of Qld,590,3,1793.333
2015-06-01,Technicians and Trades Workers,Rest of SA,50,3,98
2015-06-01,Technicians and Trades Workers,Rest of Tas.,53,3,91.667
2015-06-01,Technicians and Trades Workers,Rest of Vic.,345,3,539.333
2015-06-01,Technicians and Trades Workers,Rest of WA,200,3,548.6669999999999
2015-06-01,Community and Personal Service Workers,Australian Capital Territory,229,4,320.333
2015-06-01,Community and Personal Service Workers,Greater Adelaide,320,4,541.333
2015-06-01,Community and Personal Service Workers,Greater Brisbane,527,4,1436.333
2015-06-01,Community and Personal Service Workers,Greater Darwin,112,4,159.333
2015-06-01,Community and Personal Service Workers,Greater Hobart,53,4,148.667
2015-06-01,Community and Personal Service Workers,Greater Melbourne,2221,4,2660.667
2015-06-01,Community and Personal Service Workers,Greater Perth,1072,4,953.333
2015-06-01,Community and Personal Service Workers,Greater Sydney,3091,4,3025
2015-06-01,Community and Personal Service Workers,Rest of NSW,874,4,1008.668
2015-06-01,Community and Personal Service Workers,Rest of NT,11,4,46.667
2015-06-01,Community and Personal Service Workers,Rest of Qld,704,4,1129.6670000000001
2015-06-01,Community and Personal Service Workers,Rest of SA,79,4,57.333
2015-06-01,Community and Personal Service Workers,Rest of Tas.,58,4,59.667
2015-06-01,Community and Personal Service Workers,Rest of Vic.,334,4,418.33299999999997
2015-06-01,Community and Personal Service Workers,Rest of WA,206,4,176.334
2015-06-01,Clerical and Administrative Workers,Australian Capital Territory,279,5,809.667
2015-06-01,Clerical and Administrative Workers,Greater Adelaide,373,5,934.333
2015-06-01,Clerical and Administrative Workers,Greater Brisbane,317,5,3070
2015-06-01,Clerical and Administrative Workers,Greater Darwin,121,5,253
2015-06-01,Clerical and Administrative Workers,Greater Hobart,63,5,110.667
2015-06-01,Clerical and Administrative Workers,Greater Melbourne,2742,5,6569.667
2015-06-01,Clerical and Administrative Workers,Greater Perth,961,5,2257.333
2015-06-01,Clerical and Administrative Workers,Greater Sydney,4352,5,9896
2015-06-01,Clerical and Administrative Workers,Rest of NSW,604,5,1199.001
2015-06-01,Clerical and Administrative Workers,Rest of NT,21,5,53.667
